Task,Start,Finish,Cores,RequestId
49,2022-07-19 17:05:05.435494,2022-07-19 17:05:44.356595,6,49
50,2022-07-19 17:05:08.304357,2022-07-19 17:05:28.968486,4,50
-1,2022-07-19 17:05:18.193272,2022-07-19 17:05:18.193591,6,60
48.5,2022-07-19 17:04:23.775420,2022-07-19 17:04:54.775420,1,
48.5,2022-07-19 17:04:54.775420,2022-07-19 17:05:14.775420,2,
50,2022-07-19 17:05:28.968493,2022-07-19 17:06:03.801731,6,50
51,2022-07-19 17:05:31.785869,2022-07-19 17:05:54.572684,4,51
-1,2022-07-19 17:05:34.049268,2022-07-19 17:05:34.049538,6,61
49.5,2022-07-19 17:04:47.100042,2022-07-19 17:05:18.100042,1,
49.5,2022-07-19 17:05:18.100042,2022-07-19 17:05:40.100042,2,
-1,2022-07-19 17:05:45.947227,2022-07-19 17:05:45.947450,6,62
51,2022-07-19 17:05:54.572691,2022-07-19 17:06:26.818774,6,51
52,2022-07-19 17:05:57.357202,2022-07-19 17:06:13.955905,4,52
50.5,2022-07-19 17:05:08.304357,2022-07-19 17:05:39.304357,1,
50.5,2022-07-19 17:05:39.304357,2022-07-19 17:05:59.304357,2,
-1,2022-07-19 17:06:09.172335,2022-07-19 17:06:09.172574,6,63
52,2022-07-19 17:06:13.955913,2022-07-19 17:06:51.396702,6,52
53,2022-07-19 17:06:16.765615,2022-07-19 17:06:37.028741,4,53
51.5,2022-07-19 17:05:31.785869,2022-07-19 17:06:01.785869,1,
51.5,2022-07-19 17:06:01.785869,2022-07-19 17:06:22.785869,2,
-1,2022-07-19 17:06:32.975260,2022-07-19 17:06:32.975490,6,64
53,2022-07-19 17:06:37.028747,2022-07-19 17:07:16.827234,6,53
54,2022-07-19 17:06:39.698343,2022-07-19 17:07:01.599824,4,54
52.5,2022-07-19 17:05:57.357202,2022-07-19 17:06:27.357202,1,
52.5,2022-07-19 17:06:27.357202,2022-07-19 17:06:47.357202,2,
-1,2022-07-19 17:07:00.005416,2022-07-19 17:07:00.005686,6,65
54,2022-07-19 17:07:01.599831,2022-07-19 17:07:33.915377,6,54
55,2022-07-19 17:07:04.375576,2022-07-19 17:07:44.088539,4,55
-1,2022-07-19 17:07:22.565338,2022-07-19 17:07:22.565647,6,66
54.5,2022-07-19 17:06:39.698343,2022-07-19 17:07:09.698343,1,
54.5,2022-07-19 17:07:09.698343,2022-07-19 17:07:29.698343,2,
-1,2022-07-19 17:07:39.441240,2022-07-19 17:07:39.441446,6,67
55,2022-07-19 17:07:44.088544,2022-07-19 17:08:04.412846,6,55
56,2022-07-19 17:07:46.671222,2022-07-19 17:08:14.572155,4,56
-1,2022-07-19 17:07:50.408149,2022-07-19 17:07:50.408422,6,68
-3,2022-07-19 17:07:58.621268,2022-07-19 17:07:59.622660,53,53
57,2022-07-19 17:08:02.477600,2022-07-19 17:08:52.752478,6,57
55.5,2022-07-19 17:07:04.375576,2022-07-19 17:07:40.375576,1,
55.5,2022-07-19 17:07:40.375576,2022-07-19 17:08:00.375576,2,
56,2022-07-19 17:08:14.572162,2022-07-19 17:08:44.196853,6,56
-1,2022-07-19 17:08:15.621458,2022-07-19 17:08:15.621832,6,69
58,2022-07-19 17:08:17.388360,2022-07-19 17:09:02.911990,4,58
-1,2022-07-19 17:08:36.657271,2022-07-19 17:08:36.657581,6,70
56.5,2022-07-19 17:07:46.671222,2022-07-19 17:08:19.671222,1,
56.5,2022-07-19 17:08:19.671222,2022-07-19 17:08:39.671222,2,
57.5,2022-07-19 17:08:02.477600,2022-07-19 17:08:29.477600,1,
57.5,2022-07-19 17:08:29.477600,2022-07-19 17:08:48.477600,2,
-1,2022-07-19 17:08:55.368355,2022-07-19 17:08:55.368677,6,71
58,2022-07-19 17:09:02.911998,2022-07-19 17:09:20.648432,6,58
59,2022-07-19 17:09:05.807949,2022-07-19 17:09:58.040035,6,59
-1,2022-07-19 17:09:07.419910,2022-07-19 17:09:07.420251,6,72
60,2022-07-19 17:09:09.193533,2022-07-19 17:09:30.855928,4,60
58.5,2022-07-19 17:08:17.388360,2022-07-19 17:08:55.388360,1,
