Task,Start,Finish,Cores
-1,2022-03-16 18:21:12.639622,2022-03-16 18:21:12.639770,8
-1,2022-03-16 18:21:44.563686,2022-03-16 18:21:44.563830,8
-1,2022-03-16 18:22:26.603615,2022-03-16 18:22:26.603749,8
-1,2022-03-16 18:23:00.731618,2022-03-16 18:23:00.731752,8
-1,2022-03-16 18:23:41.019638,2022-03-16 18:23:41.019769,8
40.5,2022-03-16 18:21:12.249055,2022-03-16 18:21:54.249055,1
40.5,2022-03-16 18:21:54.249055,2022-03-16 18:22:28.249055,2
40.5,2022-03-16 18:22:28.249055,2022-03-16 18:23:02.249055,1
40.5,2022-03-16 18:23:02.249055,2022-03-16 18:23:36.249055,2
40.5,2022-03-16 18:23:36.249055,2022-03-16 18:24:10.249055,1
39.5,2022-03-16 18:21:09.366184,2022-03-16 18:21:51.366184,1
39.5,2022-03-16 18:21:51.366184,2022-03-16 18:22:27.366184,2
39.5,2022-03-16 18:22:27.366184,2022-03-16 18:23:02.366184,1
39.5,2022-03-16 18:23:02.366184,2022-03-16 18:23:37.366184,2
39.5,2022-03-16 18:23:37.366184,2022-03-16 18:24:12.366184,1
-1,2022-03-16 18:24:22.732420,2022-03-16 18:24:22.732550,8
41,2022-03-16 18:24:26.970437,2022-03-16 18:27:17.802085,8
42,2022-03-16 18:24:29.764790,2022-03-16 18:27:20.832545,8
-1,2022-03-16 18:25:00.839644,2022-03-16 18:25:00.839803,8
-1,2022-03-16 18:25:39.523627,2022-03-16 18:25:39.523775,8
-1,2022-03-16 18:26:22.219621,2022-03-16 18:26:22.219775,8
-1,2022-03-16 18:26:58.563596,2022-03-16 18:26:58.563737,8
41.5,2022-03-16 18:24:26.970437,2022-03-16 18:25:04.970437,1
41.5,2022-03-16 18:25:04.970437,2022-03-16 18:25:35.970437,2
41.5,2022-03-16 18:25:35.970437,2022-03-16 18:26:08.970437,1
41.5,2022-03-16 18:26:08.970437,2022-03-16 18:26:41.970437,2
41.5,2022-03-16 18:26:41.970437,2022-03-16 18:27:13.970437,1
42.5,2022-03-16 18:24:29.764790,2022-03-16 18:25:08.764790,1
42.5,2022-03-16 18:25:08.764790,2022-03-16 18:25:40.764790,2
42.5,2022-03-16 18:25:40.764790,2022-03-16 18:26:13.764790,1
42.5,2022-03-16 18:26:13.764790,2022-03-16 18:26:45.764790,2
42.5,2022-03-16 18:26:45.764790,2022-03-16 18:27:17.764790,1
43,2022-03-16 18:27:33.380284,2022-03-16 18:30:24.902070,8
-1,2022-03-16 18:27:35.079730,2022-03-16 18:27:35.079904,8
44,2022-03-16 18:27:36.252502,2022-03-16 18:30:26.200467,8
-1,2022-03-16 18:28:17.511690,2022-03-16 18:28:17.511911,8
-1,2022-03-16 18:28:58.091608,2022-03-16 18:28:58.091758,8
-1,2022-03-16 18:29:43.671647,2022-03-16 18:29:43.671824,8
-1,2022-03-16 18:30:18.439614,2022-03-16 18:30:18.439758,8
