Containers, Policy, Asignment Policy, Tf Version, Priority, TME, TMR, TMER, Recursos, Productividad, TT 
128,priority,always_attend,original,1,96.37037037037037 , 157.11111111111111 , 253.4814814814815 , 81.82397959183673 , 22.976150487067518 , 6844.0
128,priority,always_attend,original,2,85.67567567567568 , 218.97297297297297 , 304.64864864864865 , 81.82397959183673 , 32.650319113201206 , 11272.0
128,priority,always_attend,original,3,96.82142857142857 , 289.82142857142856 , 386.64285714285717 , 81.82397959183673 , 26.60396372186765 , 10826.0
128,priority,always_attend,original,4,84.05405405405405 , 361.56756756756755 , 445.6216216216216 , 81.82397959183673 , 27.813234800134364 , 16488.0
128,priority,max_prop,maleable,0,169.48333333333332 , 43.65 , 213.13333333333333 , 89.27317415730337 , 49.2603550295858 , 12788.0
128,priority,max_prop,maleable,1,203.73529411764707 , 87.70588235294117 , 291.44117647058823 , 89.27317415730337 , 25.295857988165682 , 9909.0
128,priority,max_prop,maleable,2,232.66666666666666 , 119.15384615384616 , 351.8205128205128 , 89.27317415730337 , 35.94674556213018 , 13721.0
128,priority,max_prop,maleable,3,136.7560975609756 , 113.17073170731707 , 249.9268292682927 , 89.27317415730337 , 29.28994082840237 , 10247.0
128,priority,max_prop,maleable,4,129.0 , 221.91304347826087 , 350.9130434782609 , 89.27317415730337 , 30.62130177514793 , 16142.0
128,priority,max_prop,original,0,180.07575757575756 , 182.86363636363637 , 362.93939393939394 , 94.62159863945578 , 29.44297082228117 , 23954.0
128,priority,max_prop,original,1,148.76470588235293 , 432.1470588235294 , 580.9117647058823 , 94.62159863945578 , 15.119363395225465 , 19751.0
128,priority,max_prop,original,2,166.22448979591837 , 636.3673469387755 , 802.5918367346939 , 94.62159863945578 , 21.485411140583555 , 39327.0
128,priority,max_prop,original,3,146.79545454545453 , 613.4772727272727 , 760.2727272727273 , 94.62159863945578 , 17.50663129973475 , 33452.0
128,priority,max_prop,original,4,145.38636363636363 , 1081.2045454545455 , 1226.590909090909 , 94.62159863945578 , 18.30238726790451 , 53970.0
