Task,Start,Finish,Cores,RequestId
-1,2022-03-29 01:33:25.744956,2022-03-29 01:33:25.745061,8,92
-1,2022-03-29 01:34:10.863522,2022-03-29 01:34:10.863630,8,93
-1,2022-03-29 01:34:48.773821,2022-03-29 01:34:48.773940,8,94
-1,2022-03-29 01:35:17.353782,2022-03-29 01:35:17.353889,8,95
-1,2022-03-29 01:36:02.937726,2022-03-29 01:36:02.937836,8,96
-1,2022-03-29 01:36:36.461797,2022-03-29 01:36:36.461903,8,97
-1,2022-03-29 01:37:21.817796,2022-03-29 01:37:21.817914,8,98
27.5,2022-03-29 01:30:57.158577,2022-03-29 01:33:27.158577,1,
27.5,2022-03-29 01:33:27.158577,2022-03-29 01:35:06.158577,2,
27.5,2022-03-29 01:35:06.158577,2022-03-29 01:36:42.158577,1,
27.5,2022-03-29 01:36:42.158577,2022-03-29 01:38:18.158577,2,
27.5,2022-03-29 01:38:18.158577,2022-03-29 01:39:54.158577,1,
28,2022-03-29 01:37:39.077997,2022-03-29 01:42:34.156857,8,28
29,2022-03-29 01:37:39.078135,2022-03-29 01:42:17.764967,4,29
-1,2022-03-29 01:38:05.561848,2022-03-29 01:38:05.561964,8,99
-1,2022-03-29 01:38:45.653813,2022-03-29 01:38:45.653918,8,100
-1,2022-03-29 01:39:31.361809,2022-03-29 01:39:31.361921,8,101
-1,2022-03-29 01:40:07.335596,2022-03-29 01:40:07.335700,8,102
-1,2022-03-29 01:40:52.526837,2022-03-29 01:40:52.526949,8,103
-1,2022-03-29 01:41:22.321813,2022-03-29 01:41:22.321930,8,104
-1,2022-03-29 01:42:03.550782,2022-03-29 01:42:03.550887,8,105
29.5,2022-03-29 01:37:39.078135,2022-03-29 01:40:15.078135,1,
29.5,2022-03-29 01:40:15.078135,2022-03-29 01:42:44.078135,2,
29.5,2022-03-29 01:42:44.078135,2022-03-29 01:44:14.078135,1,
29.5,2022-03-29 01:44:14.078135,2022-03-29 01:45:46.078135,2,
